title,heading,content,tokens
Badminton at the 2020 Summer Olympics – Mixed doubles,Summary,The mixed doubles badminton tournament at the 2020 Summer Olympics took place from 24 to 30 July at the Musashino Forest Sport Plaza at Tokyo. There were 16 pairs (32 players) from 15 nations competing.,47
Badminton at the 2020 Summer Olympics – Mixed doubles,Background,"This was the 7th appearance of the event as a full medal event. Badminton was introduced as a demonstration sport in 1972, held again as an exhibition sport in 1988, and added to the full programme in 1992; the mixed doubles tournament was not held in 1992 but has been held since 1996.The reigning champions were Tontowi Ahmad and Liliyana Natsir of Indonesia, who were not defending their title with both having retired. The top two qualifying pairs were both from China (the only nation to qualify two pairs): Zheng Siwei/Huang Yaqiong and Wang Yilyu/Huang Dongping. Zheng and Huang were also the reigning world champions.",144
Badminton at the 2020 Summer Olympics – Mixed doubles,Qualification,"The badminton qualification system provided for 16 mixed doubles teams (32 players). Following revisions due to the COVID-19 pandemic, the qualifying periods were set between 29 April 2019 to 15 March 2020 and 4 January to 13 June 2021, with the ranking list of 15 June 2021 deciding qualification.
Qualification was done entirely through the ranking list. Nations with at least two pairs in the top 8 were able to send a maximum of 2 pairs (4 players); all other nations were limited to a single pair. Pairs were taken from the ranking list in order, respecting those national limits, until 16 pairs were selected. However, each continent was guaranteed to have at least one pair with the lowest-ranking pairs displaced if necessary to make room for a continental guarantee.",158
Badminton at the 2020 Summer Olympics – Mixed doubles,Competition format,"The tournament started with a group phase round-robin. There were four groups of four teams each; the top two highest-ranked pairs from each group would move on to a knockout stage. The knockout stage was a three-round single-elimination tournament with a bronze-medal match.Matches were played best-of-three games. Each game was played to 21, except that a pair must win by 2 unless the score reached 30–29.",98
Badminton at the 2020 Summer Olympics – Mixed doubles,Seeds,"Zheng Siwei / Huang Yaqiong (CHN) (silver medalists)
 Wang Yilyu / Huang Dongping (CHN) (gold medalists)
 Dechapol Puavaranukroh / Sapsiree Taerattanachai (THA) (quarter-finals)
 Praveen Jordan / Melati Daeva Oktavianti (INA) (quarter-finals)",94
Badminton at the 2020 Summer Olympics – Women's doubles,Summary,"The women's doubles badminton tournament at the 2020 Summer Olympics took place from 24 July to 2 August at the Musashino Forest Sport Plaza at Tokyo. There were 16 pairs (32 players) from 14 nations competing.
Greysia Polii and Apriyani Rahayu of Indonesia won the gold medal. It was their first Olympic medal, the country's first from badminton women's doubles, and the only gold won by the contingent in Tokyo 2020 Olympics. Indonesia also became the second country to have won all five Olympic badminton events, after China in London 2012 Olympics.",126
Badminton at the 2020 Summer Olympics – Women's doubles,Background,"This was the 8th appearance of the event as a full medal event. Badminton was introduced as a demonstration sport in 1972 (without women's doubles), held again as an exhibition sport in 1988, and added to the full programme in 1992; the women's doubles tournament had been held since.The reigning champions were Misaki Matsutomo and Ayaka Takahashi of Japan, who were not defending their title following Takahashi's retirement. Japan has two of the three top-ranked qualifiers, however, with Yuki Fukushima and Sayaka Hirota (#1) and Mayu Matsumoto and Wakana Nagahara (#3). Matsumoto and Nagahara were the reigning world champions, defeating Fukushima and Hirota in the final. China, which had won 5 of the previous 7 editions of the women's doubles, had the #2-ranked pair Chen Qingchen and Jia Yifan.",190
Badminton at the 2020 Summer Olympics – Women's doubles,Qualification,"The badminton qualification system provided for 16 women's doubles teams (32 players). Following revisions due to the COVID-19 pandemic, the qualifying periods were 29 April 2019 to 15 March 2020 and 4 January to 13 June 2021, with the ranking list of 15 June 2021 controlling qualification.
Qualification was done entirely through the ranking list. Nations with at least two pairs in the top 8 were able to send a maximum of 2 pairs (4 players); all other nations were limited to a single pair. Pairs were taken from the ranking list in order, respecting those national limits, until 16 pairs were selected. However, each continent was guaranteed to have at least one pair with the lowest-ranking pairs displaced if necessary to make room for a continental guarantee.",157
Badminton at the 2020 Summer Olympics – Women's doubles,Competition format,"The tournament started with a group phase round-robin. There were four groups of four teams each; the top two highest-ranked pairs from each group advanced to a knockout stage. The knockout stage was a three-round single-elimination tournament with a bronze medal match.Matches were played best-of-three games. Each game was played to 21, except that a pair must win by 2 unless the score reached 30–29.",94
Badminton at the 2020 Summer Olympics – Women's doubles,Seeds,"Yuki Fukushima / Sayaka Hirota (JPN) (quarter-finals)
 Chen Qingchen / Jia Yifan (CHN) (silver medalists)
 Mayu Matsumoto / Wakana Nagahara (JPN) (quarter-finals)
 Lee So-hee / Shin Seung-chan (KOR) (fourth place)",79
Badminton at the 2020 Summer Olympics – Men's doubles,Summary,The men's doubles badminton tournament at the 2020 Summer Olympics took place from 24 to 31 July at the Musashino Forest Sport Plaza at Tokyo. There were 16 pairs from 14 nations competing.,44
Badminton at the 2020 Summer Olympics – Men's doubles,Background,"This was the 8th appearance of the event as a full medal event. Badminton was introduced as a demonstration sport in 1972, held again as an exhibition sport in 1988, and added to the full programme in 1992; the men's doubles tournament has been held since.The reigning champions were Fu Haifeng and Zhang Nan of China, who were not defending their title. Fu retired after the 2016 Games, having reached three consecutive finals with two different partners (Zhang and Cai Yun) and winning two gold medals and a silver medal. The top two qualifying teams were both from Indonesia: Marcus Fernaldi Gideon/Kevin Sanjaya Sukamuljo and Mohammad Ahsan/Hendra Setiawan. The latter pair were also reigning world champions from the 2019 BWF World Championships.",163
Badminton at the 2020 Summer Olympics – Men's doubles,Qualification,"The badminton qualification system provided for 16 men's doubles teams (32 players). Following revisions due to the COVID-19 pandemic, the qualifying periods were set from 29 April 2019 to 15 March 2020 and from 4 January to 13 June 2021, with the ranking list of 15 June 2021 deciding qualification.
Qualification was done entirely through the ranking list. Nations with at least two pairs in the top 8 were able to send a maximum of 2 pairs (4 players); all other nations were limited to a single pair. Pairs were taken from the ranking list in order, respecting those national limits, until 16 pairs were selected. However, each continent was guaranteed to have at least one pair with the lowest-ranking pairs displaced if necessary to make room for a continental guarantee.",160
Badminton at the 2020 Summer Olympics – Men's doubles,Competition format,"The tournament was started with a group phase round-robin. There were four groups of four teams each; the top two highest-ranked pairs from each group advanced to the knockout stage. The knockout stage was a three-round single-elimination tournament with a bronze medal match.Matches were played best-of-three games. Each game was played to 21, except that a pair must win by 2 unless the score reached 30–29.",95
Badminton at the 2020 Summer Olympics – Men's doubles,Seeds,"Marcus Fernaldi Gideon / Kevin Sanjaya Sukamuljo (INA) (quarter-finals)
 Mohammad Ahsan / Hendra Setiawan (INA) (fourth place)
 Li Junhui / Liu Yuchen (CHN) (silver medalists)
 Hiroyuki Endo / Yuta Watanabe (JPN) (quarter-finals)",81
Gymnastics at the 2020 Summer Olympics – Women's artistic team all-around,Summary,"The women's artistic team all-around event at the 2020 Summer Olympics was held on 25 and 27 July 2021 at the Ariake Gymnastics Centre. There were 12 teams of 4 gymnasts each.
The competition was won by the Russian athletes competing as the Russian Olympic Committee (ROC), the 2016 silver medalists, when they competed as Russia. It was the first women's team all-around title for the Russian team since 1992, when it competed as the Unified Team. They led throughout the competition despite two falls on balance beam in the third rotation. The United States, the two-time defending champions and 2019 world champions, were second. Notably, top American gymnast Simone Biles withdrew from competing following the first rotation due to health concerns, and the three remaining American athletes had to alter their planned lineups and routines. The bronze was won by Great Britain, which displaced Italy from the bronze medal position in the last rotation. Great Britain have not medaled in the women's team all-around since 1928, when they won bronze.
ROC is the first nation to win both the men's and women's team all-around titles at the same Olympics since China did so at the 2008 Summer Olympics.
The medals for the competition were presented by Andrew Parsons, Brazil; IOC Executive Board Member, and the medalists' bouquets were presented by Vasily Titov, Russia; FIG Vice-President.",293
Gymnastics at the 2020 Summer Olympics – Women's artistic team all-around,Background,"This was the 21st appearance of the women's artistic team all-around event. It was first introduced in 1928, not held in 1932, then has been held at every Summer Olympics since 1936.",43
Gymnastics at the 2020 Summer Olympics – Women's artistic team all-around,Qualified teams,"To reach the Olympics, a National Olympic Committee had to earn one of 12 team quota places. These were allocated through the 2018 World Artistic Gymnastics Championships (top three teams) and the 2019 World Artistic Gymnastics Championships (top nine teams, excluding those qualified in 2018). Those 12 teams competed in the qualification round in Tokyo on 25 July, with the top eight advancing to the final.The following teams qualified for the Olympics by achieving a top three placement at the 2018 World Artistic Gymnastics Championships:

 United States
 ROC
 ChinaThe following teams qualified for the event by achieving a top nine placement among non-qualified teams at the 2019 World Artistic Gymnastics Championships:

 France
 Canada
 Netherlands
 Great Britain
 Italy
 Germany
 Belgium
 Japan
 Spain",164
Gymnastics at the 2020 Summer Olympics – Women's artistic team all-around,Qualifications,"The top eight teams in qualifications, based on combined scores of each apparatus, advanced to the final. In the final, each team selected three gymnasts to compete on each apparatus. All scores on each apparatus were summed to give a final team score. The scores in qualification did not carry over to the final.",65
Taekwondo at the 2020 Summer Olympics – Men's 80 kg,Competition format,"The main bracket consisted of a single elimination tournament, culminating in the gold medal match. The top eight athletes in each event were seeded so as not to face each other in the preliminary round. The remainder of the qualified athletes were drawn randomly. Two bronze medals were awarded at the Taekwondo competitions.  A repechage was used to determine the bronze medal winners. Every competitor who lost to one of the two finalists competed in the repechage, another single-elimination competition. Each semifinal loser faced the last remaining repechage competitor from the opposite half of the bracket in a bronze medal match.",128
Swimming at the 2020 Summer Olympics – Women's 200 metre freestyle,Summary,"The women's 200 metre freestyle event at the 2020 Summer Olympics was held from 26 to 28 July 2021 at the Tokyo Aquatics Centre. It was the event's fourteenth consecutive appearance, having been held at every edition since 1968.",51
Swimming at the 2020 Summer Olympics – Women's 200 metre freestyle,Qualification,"The Olympic Qualifying Time for the event is 1:57.28. Up to two swimmers per National Olympic Committee (NOC) can automatically qualify by swimming that time at an approved qualification event. The Olympic Selection Time is 2:00.80. Up to one swimmer per NOC meeting that time is eligible for selection, allocated by world ranking until the maximum quota for all swimming events is reached. NOCs without a female swimmer qualified in any event can also use their universality place.",106
Swimming at the 2020 Summer Olympics – Women's 200 metre freestyle,Competition format,"The competition consisted of three rounds: heats, semifinals, and a final. The swimmers with the best 16 times in the heats advance to the semifinals. The swimmers with the best 8 times in the semifinals advance to the final. Swim-offs are used as necessary to break ties for advancement to the next round.",67
Ecuador at the 2020 Summer Olympics,Summary,"Ecuador competed at the 2020 Summer Olympics in Tokyo. Originally scheduled to take place from 24 July to 9 August 2020, the Games have been postponed to 23 July to 8 August 2021, because of the COVID-19 pandemic. It was the nation's fifteenth appearance at the Summer Olympics, and its most successful to date. The country won its third, fourth, and fifth ever medals (and its second and third ever gold medals), two golds and one silver, respectively, during the games.",106
Ecuador at the 2020 Summer Olympics,Archery,"One Ecuadorian archer qualified for the women's individual recurve at the Games by securing the last of three available spots as the next highest-ranked eligible placer at the 2021 Pan American Championships in Monterrey, Mexico, signifying the country's debut in the sport.",60
Ecuador at the 2020 Summer Olympics,Athletics,"Ecuadorian athletes further achieved the entry standards, either by qualifying time or by world ranking, in the following track and field events (up to a maximum of 3 athletes in each event):

Track and road events
MenWomen",50
Ecuador at the 2020 Summer Olympics,Boxing,"Ecuador entered four boxers (two per gender) to compete in each of the following weight classes into the Olympic tournament. With the cancellation of the 2021 Pan American Qualification Tournament in Buenos Aires, Jean Carlos Caicedo (men's featherweight) and two-time Olympian Julio Castillo (men's heavyweight) finished among the top five of their respective weight divisions to secure their places on the Ecuadorian squad based on the IOC's Boxing Task Force Rankings for the Americas. On the women's side, María José Palacios (lightweight) and Erika Pachito (middleweight) completed the nation's boxing lineup by topping the list of eligible boxers from the Americas in their respective weight divisions of the IOC's Boxing Task Force Rankings.",157
Ecuador at the 2020 Summer Olympics,BMX,"Ecuador received one men's and one women's quota spot each for BMX at the Olympics, as a result of the nation's ninth-place finish for men in the UCI BMX Olympic Qualification List and a top three eligible placement for women in the UCI BMX Individual Ranking List of June 1, 2021.",69
Ecuador at the 2020 Summer Olympics,Equestrian,"With Chile failing to comply with the minimum eligibility requirements, Ecuador received an invitation from FEI to send an eventing rider to the Games, as the next highest-ranked eligible nation within the individual FEI Olympic Rankings for Group E (Central and South America).",55
Ecuador at the 2020 Summer Olympics,Golf,Ecuador entered one female golfer into the Olympic tournament. Daniela Darquea (world no. 349) qualified directly among the top 60 eligible players for their respective events based on the IGF World Rankings.,45
Ecuador at the 2020 Summer Olympics,Judo,"Ecuador entered three judoka (one man and two women) for each of the following weight classes at the Games. Rio 2016 Olympian Lenin Preciado (men's extra-lightweight, 60 kg) and rookie Vanessa Chalá (women's half-heavyweight, 78 kg) were selected among the top 18 judoka of their respective weight classes based on the IJF World Ranking List of June 28, 2021, while two-time Olympian Estefania García (women's half-middleweight, 63 kg) accepted a continental berth from the Americas as the nation's top-ranked judoka outside of direct qualifying position.",134
Ecuador at the 2020 Summer Olympics,Modern pentathlon,"Ecuador qualified one modern pentathlete for the women's event, signifying the country's Olympic debut in the sport. Marcela Cuaspud secured a selection by finishing among the top two for Latin America and thirteen overall at the 2019 Pan American Games in Lima.",58
Ecuador at the 2020 Summer Olympics,Shooting,"Ecuadorian shooters achieved quota places for the following events by virtue of their best finishes at the 2018 ISSF World Championships, the 2019 ISSF World Cup series, the 2019 Pan American Games, and Championships of the Americas, as long as they obtained a minimum qualifying score (MQS) by May 31, 2020.",67
Ecuador at the 2020 Summer Olympics,Surfing,"Ecuador sent one surfer to compete in the women's shortboard race at the Games. Mimi Barona secured a spot previously allocated by the defending champion Daniella Rosas, as the next highest-ranked surfer vying for qualification, following her silver-medal finish at the 2019 Pan American Games in Lima, Peru.",71
Ecuador at the 2020 Summer Olympics,Swimming,"Ecuador received a universality invitation from FINA to send two top-ranked swimmers (one per gender) in their respective individual events to the Olympics, based on the FINA Points System of June 28, 2021.",48
Ecuador at the 2020 Summer Olympics,Table tennis,"For the first time since Barcelona 1992, Ecuador entered one athlete into the table tennis competition at the Games. Alberto Miño scored a second-stage final triumph to earn one of the remaining two tickets in the men's singles at the 2021 Latin American Qualification Tournament in Rosario, Argentina.",61
Ecuador at the 2020 Summer Olympics,Weightlifting,"Ecuador entered four female weightlifters into the Olympic competition. Rio 2016 Olympian Neisi Dajomes (women's 76 kg), rookies Angie Palacios (women's 64 kg) and Tamara Salazar (women's 87 kg), with Alexandra Escobar leading the squad at her fifth straight Games, secured one of the top eight slots each in their respective weight divisions based on the IWF Absolute World Ranking.",89
Ecuador at the 2020 Summer Olympics,Wrestling,"Ecuador qualified two wrestlers for each of the following classes into the Olympic competition. One of them secured a place in the women's freestyle 50 kg by progressing to the top two finals at the 2021 World Qualification Tournament in Sofia, Bulgaria.On June 15, 2021, United World Wrestling awarded an additional Olympic license to Luisa Valverde in the women's freestyle 53 kg, as the next highest-ranked wrestler vying for qualification at the 2019 Worlds, citing North Korea's withdrawal from the Games.

Freestyle",110
Weightlifting at the 2020 Summer Olympics – Women's 49 kg,Summary,"The Women's 49 kg weightlifting competitions at the 2020 Summer Olympics in Tokyo took place on 24 July at the Tokyo International Forum.At the end, China's Hou Zhihui, India's Saikhom Mirabai Chanu and Indonesia's Windy Cantika Aisah sweeps the podium. They claimed gold, silver and bronze medals respectively.",75
Costa Rica at the 2020 Summer Olympics,Summary,"Costa Rica competed at the 2020 Summer Olympics in Tokyo. Originally scheduled to take place from 24 July to 9 August 2020, the Games were postponed to 23 July to 8 August 2021, because of the COVID-19 pandemic. It was the nation's sixteenth appearance at the Summer Olympics, since its debut in 1936.",70
Costa Rica at the 2020 Summer Olympics,Athletics,"Costa Rican athletes further achieved the entry standards, either by qualifying time or by world ranking, in the following track and field events (up to a maximum of 3 athletes in each event):

Track & road events",47
Costa Rica at the 2020 Summer Olympics,Road,"Costa Rica entered one rider each to compete in the men's and women's Olympic road races, by virtue of his top 50 national finish (for men) and her top 100 individual finish (for women) in the UCI World Ranking.",52
Costa Rica at the 2020 Summer Olympics,BMX,"Costa Rica entered one BMX rider to compete in the men's freestyle, by finishing in the top two at the 2019 UCI Urban Cycling World Championships in Chengdu, China.",41
Costa Rica at the 2020 Summer Olympics,Artistic,"Costa Rica entered one artistic gymnast into the Olympic competition, marking the country's debut in the sport. Luciana Alvarado scored a third-place finish to book the last of two available berths in the women's individual all-around and apparatus events at the 2021 Pan American Championships in Rio de Janeiro, Brazil.
Women",71
Costa Rica at the 2020 Summer Olympics,Judo,"Costa Rica qualified one judoka for the men's half-lightweight category (66 kg) at the Games. Ian Sancho Chinchila accepted a continental berth from the Americas as the nation's top-ranked judoka outside of direct qualifying position in the IJF World Ranking List of June 28, 2021.",68
Costa Rica at the 2020 Summer Olympics,Surfing,"Costa Rica sent two surfers to compete in the women's shortboard race and one surfer to compete in the men's shortboard race at the Games. Brisa Hennessy finished within the top eight of those eligible for qualification in the World Surf League rankings to secure her place on the Costa Rican roster for Tokyo 2020, with Leilani McGonagle joining her with a top-two finish in her heat at the 2021 ISA World Surfing Games in El Salvador. On July 23, Carlos Muñoz Herrera joined the nation's surfing squad at the Games after Portugal's Frederico Morais tested positive for COVID-19.",134
Costa Rica at the 2020 Summer Olympics,Swimming,"Costa Rica received a universality invitation from FINA to send two top-ranked swimmers (one per gender) in their respective individual events to the Olympics, based on the FINA Points System of June 28, 2021.",49
Costa Rica at the 2020 Summer Olympics,Taekwondo,"Originally, Costa Rica was not going to participate in taekwondo during these Olympic Games, however, the country received a last minute invitation after the Chilean delegation was unable to send a taekwondo player in the women's 57 kilogram category as a result of a positive test for COVID-19. Costa Rican Olympic Committee selected Nishy Lee Lindo to represent her country for the first time in taekwondo at the Games.",93
Cycling at the 2020 Summer Olympics – Men's BMX freestyle,Summary,The men's BMX freestyle event at the 2020 Summer Olympics took place on 31 July and 1 August 2021 at the Ariake Urban Sports Park. 9 cyclists from 8 nations competed.,41
Cycling at the 2020 Summer Olympics – Men's BMX freestyle,Background,"This was the debut appearance of the event, with freestyle BMX added to the programme for the first time (BMX racing was added in 2008).
The reigning (2021) World Champion is Logan Martin of Australia, who was also the 2017 winner and 2019 silver medalist.
A preview by Olympics.com noted the favourites as Brandon Loupos of Australia (the 2019 World Champion), Daniel Dhers of Venezuela, and Rim Nakamura of Japan. Australia had hoped to have both Martin and Loupos compete. The final rankings, however, put the United States as the #1-ranked nation. This meant that the United States was the only nation able to send two cyclists in the event; Australia, as the #2-ranked nation, could send only one. Further, Loupos was seriously injured during the 2021 World Championship less than two months before the Games, which would have kept him from competing in any case. Martin was selected as Australia's only men's BMX freestyle rider.The United States selected Justin Dowell (2018 World Champion) and Nick Bruce (2019 bronze medalist); the Americans finished the 2021 World Championship with 3 cyclists in the top 5 places (Bruce 5th, Dowell 4th, and Daniel Sandoval taking silver).",259
Cycling at the 2020 Summer Olympics – Men's BMX freestyle,Qualification,"A National Olympic Committee (NOC) could enter up to 2 qualified cyclists in the BMX freestyle. Quota places are allocated to the NOC, which selects the cyclists. There were 9 quota places available, allocated as follows:
UCI nation ranking (6 places): Top NOC earns 2 places. NOCs ranked 2nd to 5th each earn 1 place.
2019 World Championships (2 places): The top 2 NOCs at the 2019 UCI Urban Cycling World Championships, which have not yet earned any quota places, each earn 1 place.
Host place (1 place): Host nation Japan was guaranteed 1 place.",134
Cycling at the 2020 Summer Olympics – Men's BMX freestyle,Competition format,"The competition is a two-round tournament, with a seeding round and a final. Each round has the cyclists all do two runs. The runs are 60 seconds long. Five judges give scores between 0.00 and 99.99 based on the difficulty and execution of the rider's run; the scores are averaged for a total run score. In the seeding round, the rider's two run scores are averaged to give a total seeding score. These seeding scores are used to determine the start order of the cyclists in the final, providing a knowledge advantage to the later riders. In the final, only the better score of the two runs counts.",135
Cycling at the 2020 Summer Olympics – Men's BMX racing,Summary,The men's BMX racing competition at the 2020 Summer Olympics took place on 29 and 30 July 2021 at the Ariake Urban Sports Park. 24 cyclists from 17 nations competed in the event.,42
Cycling at the 2020 Summer Olympics – Men's BMX racing,Background,"This was the 4th appearance of the event, which has been held at every Summer Olympics since BMX racing was added to the programme in 2008.
The reigning Olympic champion was Connor Fields of the United States, and the reigning (2019) World Champion was Twan van Gendt of the Netherlands.
A preview by Olympics.com noted the favourites as Fields, van Gendt, Niek Kimmann (also of the Netherlands), Joris Daudet of France, and Carlos Ramírez of Colombia.Fields suffered a horrific crash in his semi-final heat and was unable to continue racing. He was hospitalized.",133
Cycling at the 2020 Summer Olympics – Men's BMX racing,Qualification,"A National Olympic Committee (NOC) could enter up to three qualified cyclists in the BMX race. Quota places are allocated to the NOC, which selects the cyclists. There were 24 quota places available, allocated as follows:
UCI nation ranking (18 places): The top two NOCs each earn three places. NOCs ranked third to fifth each earn two places. NOCs ranked sixth through 11th each earn one place. Each continent was guaranteed one place.
UCI elite individual ranking (three places): The three NOCs with the top individuals on this ranking, which have not yet earned any quota places, each earn one place.
2020 World Championships (two places): The top two NOCs at the 2020 UCI BMX World Championships, which have not yet earned any quota places, each earn one place. Because the 2020 World Championships were cancelled due to the COVID-19 pandemic, these places were reallocated to the UCI nation ranking.
Host place (one place): Host nation Japan was guaranteed one place.",222
Cycling at the 2020 Summer Olympics – Men's BMX racing,Competition format,"The competition was a three-round tournament, with quarterfinals, semifinals, and a final. The time-trial seeding run from previous Games was eliminated. In each round, the cyclists raced around a 400 metres (1,300 ft) course with jumps and banked turns. The competition proceeded as follows:
Quarterfinals: four heats of six cyclists each. Each heat had three runs, using a point-for-place system (one point for the winner of a run, two points for second, etc.), with the lowest points over the three runs winning. The best four cyclists in each heat (16 total) advanced to the semifinals; the others (eight cyclists) were eliminated.
Semifinals: two heats of eight cyclists each. Again there were three runs per heat, using the point-for-place system. The top four cyclists in each semifinal (eight total) advanced to the final; the others (eight cyclists) were eliminated.
Final: one final of eight cyclists. There was only a single run.",215
Cycling at the 2020 Summer Olympics – Women's road time trial,Summary,"The women's road time trial event at the 2020 Summer Olympics took place on 28 July 2021 around the Fuji Speedway in Shizuoka Prefecture. 25 cyclists from 20 nations competed in the event.The race was won by Annemiek van Vleuten of Netherlands, her second Olympic medal at these Games. Van Vleuten set the fastest times at both intermediate time checks before setting the only time under 31 minutes. She won by 56 seconds over the silver medalist, Marlen Reusser of Switzerland. Reusser set the fourth and fifth fastest times at the first two time checks, respectively. Her final split allowed her to move into second, becoming the only rider within a minute of van Vleuten's time. The bronze medal went to Anna van der Breggen, the world champion and van Vleuten's compatriot. She was faster than Reusser at both time checks before Reusser eventually moved ahead by five seconds at the finish.",201
Cycling at the 2020 Summer Olympics – Women's road time trial,Background,"This was the 7th appearance of the event, previously held at every Summer Olympics since 1996. The reigning Olympic champion was Kristin Armstrong of the United States who retired in 2016. The reigning World Champion was Anna van der Breggen of the Netherlands.
An event preview from Olympics.com identified the Dutch team of van der Breggen and Annemiek van Vleuten as difficult to beat while Chloé Dygert, the world champion in the discipline in 2019, was also noted as a potential favourite if healthy.",112
Cycling at the 2020 Summer Olympics – Women's road time trial,Qualification,"A National Olympic Committee (NOC) could enter up to 2 qualified cyclists in the women's road time trial. All quota places are assigned to the NOC, which may select the cyclists that compete. The time trial quota places did not allow NOCs to send additional cyclists; NOCs had to have qualified places in the road race to earn time trial quota places. There were 25 total quota spots available for the race, allocated as follows:
The first 15 nations in the UCI World Rankings received one place each.
The ten best-ranked nations at the 2019 World Championship received one place each. An NOC could earn places by qualifying in both ways; this was the case of the Netherlands, Germany, the United States, Australia, Canada, and France.
Since Asia was not yet represented, a spot was given to its highest-ranked nation, Japan. This went at the expense of the 15-th ranked team, France, who had one competitor left. Because qualification was complete by 22 October 2019, this allocation was unaffected by the COVID-19 pandemic.
One additional place was added for Refugee Olympic Team member Masomah Ali Zada.
Swedish competitor Emilia Fahlin withdrew on 15 July and was not replaced.",260
Cycling at the 2020 Summer Olympics – Women's road time trial,Competition format and course,"The time trial is a race against the clock. The 25 competing cyclists started at intervals of a minute and a half. The time trial events used a 22.1-kilometre (13.7 mi) circuit that began on the Fuji Speedway before descending towards the exit. Afterwards, the riders gradually climbed for 5 kilometres (3.1 mi) towards the first intermediate time check. The riders then began another descent towards the second time check, looping back towards the entrance of the Speedway. After passing through the entrance, the riders tackled a 1.4-kilometre (0.87 mi) climb before going inside the Speedway proper. The riders rode through the Speedway before the lap ended on the finish line. The women rode this circuit once with an elevation gain of approximately 423 metres (1,388 ft).",171
Cycling at the 2020 Summer Olympics – Women's road time trial,Race overview,"The time trial commenced at 11:30 Japan Standard Time (UTC+9) with Masomah Ali Zada (Refugee Olympic Team) the first rider off the start ramp. The first rider to set a benchmark time was Karol-Ann Canuel (Canada). She set a time of 33:07.97, which stood until Sarah Gigante (Australia) finished with a time of 33:01.60. Two riders, Leah Kirchmann (Canada) and Lisa Klein (Germany), came close to beating Gigante's time but both riders fell short by less than half a second. Gigante was eventually knocked off the top spot by Juliette Labous (France), who set the first time under 33 minutes with a time of 32:42.14. She was soon beaten by Ashleigh Moolman Pasio, who was four and a half seconds faster than Labous.
The favorites soon started the course, beginning with Amber Neben (United States). She set a time of 31:26.13, the first time under 32 minutes. However, just behind her, Annemiek van Vleuten (Netherlands) was speeding up the course. She was the fastest at both intermediate time checks before finishing with a time of 30:13.49, the only time under 31 minutes. Her time eventually stood until the end, winning the gold medal as a follow-up to her silver medal finish at the road race. Grace Brown (Australia) looked to threaten van Vleuten's time as she was only six seconds slower at the first time check. However, she gradually lost time towards the rest of the course before eventually going more than a minute slower. The last three riders off the start ramp were Marlen Reusser (Switzerland), Chloé Dygert (United States), and Anna van der Breggen (Netherlands). At the first time check, Reusser was only fourth fastest at 28 seconds down while van der Breggen was third fastest, only 18 seconds behind. Meanwhile, Dygert struggled from the start as she was 51 seconds down at the first time check before eventually setting the seventh fastest time. At the second time check, van der Breggen and Reusser continued to lose time, going 29 and 42 seconds slower, respectively. At the finish, Reusser was able to move into second to take the silver medal by five seconds over van der Breggen, who took the bronze medal.",512
Skateboarding at the 2020 Summer Olympics – Men's park,Competition format,"The twenty participating skateboarders were sorted into four heats of five skaters each for the semifinals (prelims). During the semifinals, each skater did three 45-second runs in their designated heat. The best run score of each skater's three runs built a ranking. The eight top-ranked skaters from the combined ranking of the heats qualified for the final.",79
Skateboarding at the 2020 Summer Olympics – Women's park,Summary,"The 2020 Summer Olympics women's park skateboarding competition occurred on 4 August 2021 at Ariake Urban Sports Park in Tokyo, Japan.
It was originally scheduled to be held in 2020, but on 24 March 2020, the Olympics were postponed to 2021 due to the COVID-19 pandemic.Sakura Yosozumi and Kokona Hiraki of Japan won the gold and silver medals, with Sky Brown of Great Britain winning the bronze medal.",94
Skateboarding at the 2020 Summer Olympics – Women's park,Competition format,"In the prelims, the twenty participating skateboarders were sorted into four heats of five skaters each. Each each skater did three 45-second runs in their designated heat. The best run score of each skater's three runs built a ranking. The eight top-ranked skaters from the combined ranking of the heats qualified for the final.",74
Skateboarding at the 2020 Summer Olympics – Men's street,Summary,"The 2020 Summer Olympics men's street skateboarding competition occurred on 25 July 2021 at Ariake Urban Sports Park in Tokyo, Japan.
It was originally scheduled to be held in 2020, but on 24 March 2020, the Olympics were postponed to 2021 due to the COVID-19 pandemic.Yuto Horigome of Japan won the gold medal, with Kelvin Hoefler of Brazil and Jagger Eaton of the United States winning the silver and bronze medals.",97
Skateboarding at the 2020 Summer Olympics – Men's street,Competition format,"All 20 skateboarders did two 45-second runs, and then five single tricks rounds. Only the top 4 scores from the seven rounds for each skateboarder counted toward the final score. The top 8 skateboarders from the Semi-Final qualified for the finals, where the scores were reset and follow the same two 45 second round and five single trick round format.",78
Seychelles at the 2020 Summer Olympics,Summary,"Seychelles competed at the 2020 Summer Olympics in Tokyo. Originally scheduled to take place from 24 July to 9 August 2020, the Games were postponed to 23 July to 8 August 2021, because of the COVID-19 pandemic. It was the nation's ninth appearance at the Summer Olympics, with the exception of the 1988 Summer Olympics in Seoul because of its partial support to the North Korean boycott.",85
Seychelles at the 2020 Summer Olympics,Judo,Seychelles received an invitation from the Tripartite Commission and the International Judo Federation to send Nantenaina Finesse in the men's middleweight category (90 kg) to the Olympics.,46
Seychelles at the 2020 Summer Olympics,Sailing,"Seychellois sailors qualified one boat in each of the following classes through the class-associated World Championships, and the continental regattas.
M = Medal race; EL = Eliminated – did not advance into the medal race",50
